epoch,examples_used,effective_examples_used,effective_ratio,train_accuracy,test_accuracy,train_loss
0,50000,26973,0.53946,0.40306,0.4666,2.0300206505522436
1,50000,25126,0.50252,0.53298,0.5087,1.7473847190944516
2,50000,23787,0.47574,0.6103,0.4907,1.5917111410170186
3,50000,22958,0.45916,0.66138,0.5732,1.4551842230923322
4,50000,22109,0.44218,0.70202,0.6371,1.353503784963063
5,50000,21097,0.42194,0.7348,0.6677,1.25592141309563
6,50000,19965,0.3993,0.77338,0.6263,1.1527927660820436
7,50000,18672,0.37344,0.80286,0.6774,1.0902465089243285
8,50000,17324,0.34648,0.83204,0.6907,1.0094168140571944
9,50000,15782,0.31564,0.85082,0.6611,0.9962411842175892
10,50000,14321,0.28642,0.875,0.5684,0.9345170064848296
11,50000,13124,0.26248,0.88952,0.7002,0.9054121213908098
12,50000,11579,0.23158,0.9067,0.6715,0.8940634736601187
13,50000,10782,0.21564,0.91388,0.7203,0.8819858392282408
14,50000,9710,0.1942,0.92982,0.671,0.8374459091193822
15,50000,8737,0.17474,0.9365,0.7011,0.8374974815821161
16,50000,7877,0.15754,0.94088,0.721,0.8448484009321855
17,50000,7166,0.14332,0.9475,0.7141,0.848076519309258
18,50000,6674,0.13348,0.9557,0.7084,0.8057602251670799
19,50000,6042,0.12084,0.96026,0.7194,0.7987924659130524
20,50000,5726,0.11452,0.96338,0.7357,0.794317905696071
21,50000,5303,0.10606,0.96586,0.7129,0.7889639096600669
22,50000,4830,0.0966,0.96754,0.7149,0.8072707756441466
23,50000,4627,0.09254,0.9706,0.75,0.7906724696560782
24,50000,4658,0.09316,0.97256,0.7429,0.7591489228058834
25,50000,4108,0.08216,0.97478,0.7195,0.7913899984286756
26,50000,3957,0.07914,0.97788,0.7379,0.7281215767167053
27,50000,3847,0.07694,0.97756,0.7326,0.7741945162415504
28,50000,3848,0.07696,0.98168,0.7377,0.6802107052763506
29,50000,3280,0.0656,0.9816,0.7333,0.7392144733089574
30,50000,3398,0.06796,0.97938,0.7349,0.7704494297504425
31,50000,3091,0.06182,0.98182,0.7389,0.782291517117802
32,50000,3017,0.06034,0.98276,0.737,0.7752470224335486
33,50000,3066,0.06132,0.98544,0.7415,0.690389375145338
34,50000,2937,0.05874,0.9849,0.7546,0.7360410559922457
35,50000,3082,0.06164,0.98494,0.7576,0.7015795906891629
36,50000,2587,0.05174,0.98762,0.7352,0.7031297914835871
