epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
0,6.532086,0.028686,0.0616,0.19286,1281024,824668,0.643757,0.97709,325.083,3940.6,1.6e-07,0.0
1,6.102687,0.083989,0.10746,0.2844,1281024,775114,0.605074,0.938407,290.976,4402.5,0.00020016,0.0
2,5.966687,0.112882,0.12732,0.31888,1281024,754759,0.589184,0.922517,287.489,4455.91,0.00040016,0.0
3,5.9626,0.116326,0.12202,0.30208,1281024,753594,0.588275,0.921608,321.82,3980.56,0.00060016,0.0
4,6.026851,0.10778,0.12006,0.3006,1281024,759114,0.592584,0.925917,299.477,4277.53,0.00080016,0.0
5,6.01918,0.110136,0.13126,0.3115,1281024,759097,0.59257,0.925904,279.199,4588.21,0.001,0.0
6,5.928929,0.12674,0.14608,0.34198,1281024,751987,0.58702,0.920354,282.598,4533.02,0.00099997,0.0
7,5.821976,0.146411,0.16942,0.3818,1281024,743186,0.58015,0.913483,280.775,4562.45,0.00099989,0.0
8,5.734156,0.163792,0.18918,0.41346,1281024,735359,0.57404,0.907373,280.904,4560.36,0.00099974,0.0
9,5.652111,0.179688,0.20492,0.43834,1281024,728278,0.568512,0.901846,388.225,3299.69,0.00099955,0.0
10,5.571664,0.196633,0.22484,0.4671,1281024,720988,0.562822,0.896155,515.183,2486.54,0.00099929,0.0
11,5.492735,0.213479,0.23894,0.4867,1281024,713874,0.557268,0.890602,491.445,2606.65,0.00099898,0.0
12,5.4094,0.231748,0.25946,0.51474,1281024,706520,0.551528,0.884861,510.62,2508.76,0.00099861,0.0
13,5.330332,0.249251,0.28214,0.54212,1281024,698935,0.545606,0.87894,507.181,2525.77,0.00099819,0.0
14,5.231706,0.27153,0.3101,0.57534,1281024,690480,0.539006,0.87234,507.584,2523.77,0.00099771,0.0
15,5.1259,0.296233,0.33624,0.6052,1281024,680702,0.531373,0.864707,512.936,2497.43,0.00099717,0.0
16,5.030243,0.319014,0.3492,0.6209,1281024,671807,0.52443,0.857763,525.653,2437.02,0.00099657,0.0
17,4.947671,0.338359,0.36982,0.64094,1281024,664372,0.518626,0.851959,508.957,2516.96,0.00099592,0.0
18,4.873457,0.35452,0.3883,0.66044,1281024,658303,0.513888,0.847221,512.186,2501.09,0.00099522,0.0
19,4.800898,0.370771,0.39534,0.66994,1281024,651893,0.508884,0.842218,507.558,2523.9,0.00099445,0.0
20,4.730811,0.385784,0.4095,0.6851,1281024,646654,0.504795,0.838128,499.384,2565.21,0.00099363,0.0
21,4.663189,0.400366,0.42648,0.69978,1281024,641359,0.500661,0.833995,508.549,2518.98,0.00099276,0.0
22,4.597922,0.414669,0.44254,0.71876,1281024,636399,0.496789,0.830123,508.16,2520.91,0.00099183,0.0
23,4.529329,0.429097,0.44906,0.72028,1281024,631650,0.493082,0.826415,507.347,2524.95,0.00099084,0.0
24,4.465945,0.443019,0.46284,0.73252,1281024,627229,0.489631,0.822964,507.187,2525.74,0.0009898,0.0
25,4.401651,0.456452,0.4726,0.74344,1281024,623138,0.486437,0.819771,528.457,2424.08,0.0009887,0.0
26,4.340816,0.468818,0.48618,0.75152,1281024,619565,0.483648,0.816982,518.155,2472.28,0.00098755,0.0
27,4.285517,0.480176,0.48962,0.75482,1281024,616277,0.481082,0.814415,509.575,2513.9,0.00098634,0.0
28,4.230731,0.4926,0.49534,0.76152,1281024,613140,0.478633,0.811966,507.636,2523.51,0.00098508,0.0
29,4.177093,0.502339,0.49916,0.76654,1281024,610833,0.476832,0.810165,500.234,2560.85,0.00098376,0.0
30,4.13018,0.51209,0.50236,0.76472,1281024,608373,0.474911,0.808245,514.181,2491.39,0.00098238,0.0
31,4.082487,0.521103,0.51052,0.77294,1281024,606579,0.473511,0.806844,512.754,2498.32,0.00098096,0.0
32,4.042542,0.528934,0.5194,0.77954,1281024,604627,0.471987,0.805321,507.124,2526.06,0.00097947,0.0
33,3.998263,0.537543,0.51796,0.77816,1281024,602887,0.470629,0.803962,510.755,2508.1,0.00097794,0.0
34,3.959656,0.545375,0.52582,0.78704,1281024,601560,0.469593,0.802926,523.967,2444.85,0.00097634,0.0
35,3.919972,0.552786,0.53296,0.78828,1281024,600417,0.468701,0.802034,542.388,2361.82,0.0009747,0.0
36,3.882349,0.559258,0.5414,0.79662,1281024,599516,0.467997,0.801331,517.666,2474.62,0.000973,0.0
37,3.843416,0.567039,0.53772,0.79386,1281024,598268,0.467023,0.800357,523.664,2446.27,0.00097125,0.0
38,3.812972,0.572698,0.54318,0.79682,1281024,597705,0.466584,0.799917,511.407,2504.9,0.00096944,0.0
39,3.774974,0.579486,0.5517,0.8017,1281024,597034,0.46606,0.799393,509.257,2515.48,0.00096758,0.0
40,3.743914,0.585615,0.54862,0.8051,1281024,596575,0.465702,0.799035,514.999,2487.43,0.00096567,0.0
41,3.713355,0.5911,0.55618,0.80492,1281024,595967,0.465227,0.79856,510.564,2509.04,0.0009637,0.0
42,3.684219,0.596656,0.55958,0.80846,1281024,595560,0.464909,0.798243,509.508,2514.24,0.00096168,0.0
43,3.658705,0.601588,0.56572,0.81034,1281024,595097,0.464548,0.797881,509.73,2513.14,0.00095961,0.0
44,3.629493,0.60685,0.56108,0.80798,1281024,594970,0.464449,0.797782,518.856,2468.94,0.00095749,0.0
45,3.603181,0.611515,0.5636,0.8089,1281024,594641,0.464192,0.797525,514.522,2489.73,0.00095532,0.0
46,3.5762,0.616107,0.56784,0.8139,1281024,594630,0.464183,0.797517,493.698,2594.75,0.00095309,0.0
47,3.546027,0.621195,0.56974,0.81376,1281024,594762,0.464286,0.79762,510.505,2509.33,0.00095081,0.0
48,3.521741,0.625898,0.57478,0.81914,1281024,594816,0.464329,0.797662,523.258,2448.17,0.00094849,0.0
49,3.501901,0.629211,0.57352,0.8156,1281024,594687,0.464228,0.797561,508.942,2517.04,0.00094611,0.0
50,3.477345,0.633941,0.5753,0.81888,1281024,594738,0.464268,0.797601,514.357,2490.54,0.00094368,0.0
51,3.452713,0.63769,0.57654,0.81762,1281024,595209,0.464635,0.797969,514.728,2488.74,0.0009412,0.0
52,3.430164,0.642007,0.5829,0.82094,1281024,595510,0.46487,0.798204,510.168,2510.99,0.00093867,0.0
53,3.413292,0.645416,0.5893,0.82542,1281024,595433,0.46481,0.798144,510.975,2507.02,0.00093609,0.0
54,3.384395,0.650427,0.58614,0.82318,1281024,596336,0.465515,0.798848,532.629,2405.1,0.00093346,0.0
55,3.368473,0.65334,0.58564,0.82512,1281024,596119,0.465346,0.798679,517.783,2474.06,0.00093078,0.0
56,3.351514,0.656596,0.5897,0.82512,1281024,596285,0.465475,0.798809,492.127,2603.03,0.00092805,0.0
57,3.324478,0.660262,0.59368,0.82966,1281024,597135,0.466139,0.799472,511.728,2503.33,0.00092527,0.0
58,3.304902,0.663231,0.59024,0.82626,1281024,597665,0.466553,0.799886,511.652,2503.7,0.00092245,0.0
59,3.289337,0.666584,0.59672,0.83036,1281024,597709,0.466587,0.79992,507.773,2522.83,0.00091958,0.0
