epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
0,6.110059,0.038643,0.09548,0.24582,1281024,1281024,1.0,1.0,299.569,4276.23,1.6e-07,0.0
1,5.062877,0.138232,0.20212,0.41612,1281024,1281024,1.0,1.0,293.148,4369.88,0.00020016,0.0
2,4.55359,0.212988,0.26562,0.50414,1281024,1281024,1.0,1.0,293.839,4359.62,0.00040016,0.0
3,4.221805,0.267142,0.32598,0.57694,1281024,1281024,1.0,1.0,293.611,4362.99,0.00060016,0.0
4,3.895031,0.325418,0.3893,0.64702,1281024,1281024,1.0,1.0,294.104,4355.68,0.00080016,0.0
5,3.597569,0.382884,0.44506,0.69628,1281024,1281024,1.0,1.0,294.597,4348.39,0.001,0.0
6,3.36498,0.430116,0.4839,0.73266,1281024,1281024,1.0,1.0,294.408,4351.18,0.00099997,0.0
7,3.204257,0.463243,0.5151,0.75922,1281024,1281024,1.0,1.0,294.501,4349.82,0.00099989,0.0
8,3.072562,0.491638,0.53466,0.77772,1281024,1281024,1.0,1.0,294.662,4347.44,0.00099974,0.0
9,2.966866,0.514363,0.55432,0.79324,1281024,1281024,1.0,1.0,294.777,4345.74,0.00099955,0.0
10,2.877595,0.534433,0.56412,0.80056,1281024,1281024,1.0,1.0,294.094,4355.83,0.00099929,0.0
11,2.801509,0.550852,0.5759,0.80732,1281024,1281024,1.0,1.0,294.618,4348.08,0.00099898,0.0
12,2.735287,0.566327,0.58762,0.81698,1281024,1281024,1.0,1.0,294.668,4347.35,0.00099861,0.0
13,2.67792,0.57907,0.59342,0.82444,1281024,1281024,1.0,1.0,294.626,4347.96,0.00099819,0.0
14,2.62384,0.591784,0.60478,0.8288,1281024,1281024,1.0,1.0,294.438,4350.75,0.00099771,0.0
15,2.577759,0.602168,0.61062,0.83336,1281024,1281024,1.0,1.0,294.306,4352.69,0.00099717,0.0
16,2.532171,0.612569,0.61892,0.83694,1281024,1281024,1.0,1.0,301.121,4254.19,0.00099657,0.0
17,2.492241,0.622228,0.61724,0.84128,1281024,1281024,1.0,1.0,296.637,4318.49,0.00099592,0.0
18,2.460448,0.630261,0.62454,0.84296,1281024,1281024,1.0,1.0,297.203,4310.27,0.00099522,0.0
19,2.425001,0.638386,0.6318,0.8467,1281024,1281024,1.0,1.0,297.396,4307.47,0.00099445,0.0
20,2.396422,0.645264,0.63548,0.85042,1281024,1281024,1.0,1.0,296.712,4317.4,0.00099363,0.0
21,2.367309,0.652516,0.63684,0.85038,1281024,1281024,1.0,1.0,297.063,4312.29,0.00099276,0.0
22,2.340676,0.659067,0.64446,0.85302,1281024,1281024,1.0,1.0,296.982,4313.47,0.00099183,0.0
23,2.317898,0.664508,0.64588,0.85666,1281024,1281024,1.0,1.0,301.814,4244.42,0.00099084,0.0
24,2.296932,0.669708,0.64372,0.85426,1281024,1281024,1.0,1.0,296.722,4317.26,0.0009898,0.0
25,2.275288,0.675119,0.64328,0.85396,1281024,1281024,1.0,1.0,296.775,4316.49,0.0009887,0.0
26,2.256419,0.679986,0.6483,0.85754,1281024,1281024,1.0,1.0,298.216,4295.62,0.00098755,0.0
27,2.236837,0.684943,0.65278,0.86056,1281024,1281024,1.0,1.0,297.208,4310.19,0.00098634,0.0
28,2.219588,0.68867,0.65564,0.86118,1281024,1281024,1.0,1.0,297.185,4310.53,0.00098508,0.0
29,2.203909,0.692633,0.65282,0.86006,1281024,1281024,1.0,1.0,296.8,4316.11,0.00098376,0.0
30,2.190356,0.696586,0.65726,0.86026,1281024,1281024,1.0,1.0,296.182,4325.12,0.00098238,0.0
31,2.175557,0.700202,0.65768,0.86226,1281024,1281024,1.0,1.0,297.191,4310.44,0.00098096,0.0
32,2.160325,0.704515,0.66,0.86536,1281024,1281024,1.0,1.0,297.213,4310.11,0.00097947,0.0
33,2.149216,0.706702,0.66098,0.86588,1281024,1281024,1.0,1.0,297.201,4310.29,0.00097794,0.0
34,2.13321,0.711211,0.66146,0.86502,1281024,1281024,1.0,1.0,296.413,4321.75,0.00097634,0.0
35,2.120384,0.714621,0.66504,0.8673,1281024,1281024,1.0,1.0,298.685,4288.88,0.0009747,0.0
36,2.108541,0.717666,0.66736,0.86856,1281024,1281024,1.0,1.0,296.902,4314.64,0.000973,0.0
37,2.094882,0.7213,0.66092,0.86474,1281024,1281024,1.0,1.0,297.057,4312.38,0.00097125,0.0
38,2.087735,0.723722,0.66346,0.86592,1281024,1281024,1.0,1.0,301.897,4243.25,0.00096944,0.0
39,2.075432,0.726469,0.66514,0.86714,1281024,1281024,1.0,1.0,296.856,4315.3,0.00096758,0.0
40,2.065927,0.72885,0.66896,0.86986,1281024,1281024,1.0,1.0,296.506,4320.4,0.00096567,0.0
41,2.057167,0.731133,0.66954,0.8681,1281024,1281024,1.0,1.0,296.849,4315.41,0.0009637,0.0
42,2.048824,0.733295,0.66852,0.8683,1281024,1281024,1.0,1.0,296.484,4320.72,0.00096168,0.0
43,2.041235,0.735484,0.67072,0.86882,1281024,1281024,1.0,1.0,296.847,4315.43,0.00095961,0.0
44,2.034397,0.736966,0.67162,0.87012,1281024,1281024,1.0,1.0,297.13,4311.33,0.00095749,0.0
45,2.023513,0.740021,0.67212,0.87034,1281024,1281024,1.0,1.0,296.766,4316.62,0.00095532,0.0
46,2.017803,0.741203,0.67116,0.8712,1281024,1281024,1.0,1.0,297.124,4311.41,0.00095309,0.0
47,2.007879,0.743974,0.6758,0.87126,1281024,1281024,1.0,1.0,296.51,4320.35,0.00095081,0.0
48,2.002828,0.745611,0.67176,0.87204,1281024,1281024,1.0,1.0,296.929,4314.25,0.00094849,0.0
