epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
0,6.705233,0.02678,0.05114,0.16272,1281024,585152,0.456785,0.790118,324.221,3951.08,1.6e-07,0.0
1,6.41579,0.06506,0.08418,0.23304,1281024,581187,0.453689,0.787023,290.114,4415.58,0.00020016,0.0
2,6.370801,0.075334,0.08014,0.21726,1281024,591282,0.46157,0.794903,286.882,4465.34,0.00040016,0.0
3,6.419225,0.070086,0.07344,0.20506,1281024,595356,0.46475,0.798083,321.193,3988.33,0.00060016,0.0
4,6.422941,0.071163,0.0796,0.21562,1281024,595341,0.464738,0.798072,298.827,4286.84,0.00080016,0.0
5,6.360161,0.081678,0.1015,0.25626,1281024,593246,0.463103,0.796436,278.526,4599.29,0.001,0.0
6,6.304427,0.091231,0.09796,0.25536,1281024,591244,0.46154,0.794873,281.848,4545.08,0.00099997,0.0
7,6.261027,0.099445,0.11026,0.27978,1281024,590736,0.461144,0.794477,280.135,4572.88,0.00099989,0.0
8,6.187059,0.113094,0.12952,0.31412,1281024,589066,0.45984,0.793173,280.365,4569.13,0.00099974,0.0
9,6.113584,0.126476,0.13678,0.32646,1281024,587347,0.458498,0.791831,388.212,3299.81,0.00099955,0.0
10,6.051509,0.138198,0.1617,0.36328,1281024,586711,0.458002,0.791335,515.567,2484.69,0.00099929,0.0
11,5.979976,0.15174,0.17366,0.387,1281024,585697,0.45721,0.790543,491.301,2607.41,0.00099898,0.0
12,5.903673,0.166346,0.1823,0.4074,1281024,584149,0.456002,0.789335,510.616,2508.78,0.00099861,0.0
13,5.834497,0.18067,0.20008,0.42948,1281024,583622,0.45559,0.788924,507.02,2526.58,0.00099819,0.0
14,5.75726,0.195494,0.2209,0.4608,1281024,582088,0.454393,0.787726,507.564,2523.87,0.00099771,0.0
15,5.682882,0.210695,0.23978,0.48688,1281024,581692,0.454084,0.787417,512.87,2497.76,0.00099717,0.0
16,5.599492,0.228015,0.25816,0.50826,1281024,579568,0.452426,0.785759,525.576,2437.37,0.00099657,0.0
17,5.514011,0.24697,0.27616,0.53788,1281024,577616,0.450902,0.784235,508.937,2517.06,0.00099592,0.0
18,5.431763,0.264926,0.29246,0.55546,1281024,575726,0.449426,0.78276,512.098,2501.52,0.00099522,0.0
19,5.356888,0.280904,0.3067,0.57418,1281024,573384,0.447598,0.780932,507.549,2523.94,0.00099445,0.0
20,5.283502,0.296501,0.32272,0.59504,1281024,571756,0.446327,0.779661,499.649,2563.85,0.00099363,0.0
21,5.215843,0.310264,0.34322,0.61582,1281024,569911,0.444887,0.77822,508.504,2519.2,0.00099276,0.0
22,5.151029,0.324683,0.35076,0.62494,1281024,567283,0.442836,0.776169,508.071,2521.35,0.00099183,0.0
23,5.084357,0.338132,0.36278,0.63938,1281024,565321,0.441304,0.774637,507.314,2525.11,0.00099084,0.0
24,5.026547,0.350011,0.37218,0.65234,1281024,562721,0.439274,0.772608,507.143,2525.96,0.0009898,0.0
25,4.964687,0.362573,0.387,0.66536,1281024,560503,0.437543,0.770876,528.415,2424.28,0.0009887,0.0
26,4.90745,0.375276,0.39696,0.67388,1281024,557679,0.435338,0.768672,518.086,2472.61,0.00098755,0.0
27,4.847863,0.386984,0.40796,0.68448,1281024,555035,0.433274,0.766608,509.525,2514.16,0.00098634,0.0
28,4.792006,0.399986,0.4168,0.69642,1281024,552285,0.431128,0.764461,507.595,2523.71,0.00098508,0.0
29,4.737738,0.410283,0.42484,0.70288,1281024,549630,0.429055,0.762389,499.992,2562.09,0.00098376,0.0
30,4.687235,0.422295,0.4342,0.71034,1281024,546279,0.426439,0.759773,514.446,2490.1,0.00098238,0.0
31,4.63258,0.432071,0.44386,0.72164,1281024,543985,0.424649,0.757982,512.689,2498.64,0.00098096,0.0
32,4.588276,0.442421,0.44794,0.72328,1281024,540799,0.422161,0.755495,506.929,2527.03,0.00097947,0.0
33,4.541264,0.452571,0.45304,0.72756,1281024,538116,0.420067,0.7534,510.679,2508.47,0.00097794,0.0
34,4.501459,0.460313,0.46122,0.73632,1281024,535700,0.418181,0.751514,523.879,2445.27,0.00097634,0.0
35,4.46066,0.469552,0.47036,0.7408,1281024,532406,0.41561,0.748943,542.24,2362.47,0.0009747,0.0
36,4.423743,0.476929,0.47592,0.74726,1281024,530500,0.414122,0.747455,517.518,2475.32,0.000973,0.0
37,4.387524,0.485265,0.48026,0.7523,1281024,527714,0.411947,0.74528,523.462,2447.22,0.00097125,0.0
38,4.355257,0.4918,0.48132,0.75404,1281024,525533,0.410244,0.743578,511.346,2505.2,0.00096944,0.0
39,4.319929,0.499566,0.48704,0.75328,1281024,522653,0.407996,0.74133,509.206,2515.73,0.00096758,0.0
40,4.288286,0.505724,0.49736,0.76508,1281024,520559,0.406362,0.739695,515.264,2486.15,0.00096567,0.0
41,4.262103,0.512533,0.49382,0.7619,1281024,517860,0.404255,0.737588,510.513,2509.29,0.0009637,0.0
42,4.226869,0.518478,0.49964,0.76872,1281024,516376,0.403096,0.73643,509.5,2514.28,0.00096168,0.0
43,4.206442,0.523993,0.50632,0.77038,1281024,514055,0.401284,0.734618,509.639,2513.59,0.00095961,0.0
44,4.180293,0.529263,0.50886,0.77524,1281024,511518,0.399304,0.732637,518.844,2469.0,0.00095749,0.0
45,4.152909,0.534942,0.51244,0.77562,1281024,509643,0.39784,0.731174,514.516,2489.76,0.00095532,0.0
46,4.128554,0.540475,0.51382,0.77786,1281024,507325,0.396031,0.729364,493.652,2595.0,0.00095309,0.0
47,4.101782,0.545445,0.51264,0.77558,1281024,505595,0.39468,0.728014,510.316,2510.26,0.00095081,0.0
48,4.0817,0.550731,0.51838,0.78256,1281024,503451,0.393007,0.72634,523.16,2448.63,0.00094849,0.0
49,4.061127,0.554636,0.52086,0.78536,1281024,501990,0.391866,0.7252,508.931,2517.09,0.00094611,0.0
50,4.041343,0.560248,0.52238,0.7838,1281024,499531,0.389947,0.72328,514.663,2489.05,0.00094368,0.0
51,4.016739,0.564318,0.5289,0.78946,1281024,498066,0.388803,0.722136,514.716,2488.8,0.0009412,0.0
52,3.999863,0.568992,0.52892,0.78836,1281024,495799,0.387033,0.720367,510.156,2511.04,0.00093867,0.0
53,3.983374,0.572839,0.53432,0.79252,1281024,494070,0.385684,0.719017,510.913,2507.32,0.00093609,0.0
54,3.959453,0.57776,0.53446,0.7913,1281024,492342,0.384335,0.717668,532.518,2405.6,0.00093346,0.0
55,3.948804,0.580722,0.53016,0.79208,1281024,490319,0.382756,0.716089,517.684,2474.53,0.00093078,0.0
56,3.932892,0.583995,0.54222,0.7984,1281024,488868,0.381623,0.714956,492.022,2603.59,0.00092805,0.0
57,3.909999,0.587959,0.54154,0.79966,1281024,487694,0.380706,0.71404,511.729,2503.33,0.00092527,0.0
58,3.896161,0.591439,0.54036,0.79762,1281024,485727,0.379171,0.712504,511.59,2504.01,0.00092245,0.0
59,3.885035,0.59536,0.54334,0.79818,1281024,484311,0.378066,0.711399,507.768,2522.85,0.00091958,0.0
60,3.865961,0.598643,0.54804,0.80484,1281024,482456,0.376617,0.709951,511.711,2503.42,0.00091666,0.0
61,3.853457,0.601664,0.55274,0.80554,1281024,480769,0.375301,0.708634,512.215,2500.95,0.00091369,0.0
62,3.83973,0.605049,0.54982,0.80546,1281024,479490,0.374302,0.707635,510.407,2509.81,0.00091068,0.0
63,3.823498,0.608374,0.55516,0.8078,1281024,478140,0.373248,0.706582,492.39,2601.64,0.00090762,0.0
64,3.812426,0.611117,0.55748,0.8084,1281024,476059,0.371624,0.704957,526.034,2435.25,0.00090451,0.0
65,3.801301,0.613349,0.55538,0.8083,1281024,475056,0.370841,0.704174,512.316,2500.46,0.00090136,0.0
66,3.782887,0.616885,0.55516,0.8067,1281024,473790,0.369853,0.703186,508.235,2520.54,0.00089816,0.0
67,3.7773,0.619415,0.55766,0.80928,1281024,472262,0.36866,0.701993,508.515,2519.15,0.00089491,0.0
68,3.764169,0.62146,0.5599,0.81074,1281024,471813,0.368309,0.701643,511.624,2503.84,0.00089163,0.0
69,3.75195,0.625439,0.56494,0.81246,1281024,469225,0.366289,0.699622,508.975,2516.87,0.00088829,0.0
70,3.739057,0.627336,0.5657,0.81386,1281024,469190,0.366262,0.699595,491.376,2607.02,0.00088492,0.0
71,3.725806,0.630688,0.56444,0.81268,1281024,467127,0.364651,0.697985,511.535,2504.28,0.0008815,0.0
72,3.716437,0.632991,0.56216,0.81088,1281024,465646,0.363495,0.696828,510.75,2508.12,0.00087803,0.0
73,3.710226,0.635239,0.56648,0.81722,1281024,463867,0.362106,0.69544,507.813,2522.63,0.00087453,0.0
74,3.691974,0.638672,0.56498,0.81366,1281024,462792,0.361267,0.694601,525.96,2435.59,0.00087098,0.0
75,3.684385,0.640812,0.57162,0.8201,1281024,461246,0.36006,0.693394,511.57,2504.1,0.00086739,0.0
76,3.679862,0.641926,0.5697,0.81772,1281024,460681,0.359619,0.692953,511.036,2506.72,0.00086375,0.0
77,3.662447,0.64523,0.5707,0.8181,1281024,459327,0.358562,0.691896,508.776,2517.86,0.00086008,0.0
78,3.656363,0.647566,0.56966,0.81936,1281024,457746,0.357328,0.690662,493.572,2595.41,0.00085637,0.0
79,3.647899,0.649737,0.57428,0.81908,1281024,456793,0.356584,0.689918,507.511,2524.13,0.00085261,0.0
80,3.638579,0.651631,0.5726,0.81868,1281024,455879,0.355871,0.689204,510.009,2511.77,0.00084882,0.0
81,3.627372,0.65357,0.57568,0.81904,1281024,454683,0.354937,0.68827,511.339,2505.24,0.00084498,0.0
82,3.615706,0.655868,0.58088,0.82428,1281024,453712,0.354179,0.687512,509.406,2514.74,0.00084111,0.0
83,3.60976,0.658644,0.58078,0.82408,1281024,451845,0.352722,0.686055,523.727,2445.98,0.00083719,0.0
84,3.603668,0.660582,0.57628,0.82178,1281024,450431,0.351618,0.684951,516.149,2481.89,0.00083324,0.0
85,3.587088,0.663019,0.5851,0.82588,1281024,449854,0.351168,0.684501,511.766,2503.14,0.00082926,0.0
86,3.579851,0.665321,0.5851,0.82774,1281024,448402,0.350034,0.683367,493.566,2595.45,0.00082523,0.0
87,3.575444,0.666907,0.58652,0.82592,1281024,446990,0.348932,0.682265,510.758,2508.08,0.00082117,0.0
88,3.562014,0.668931,0.5838,0.82772,1281024,445947,0.348118,0.681451,511.562,2504.14,0.00081707,0.0
89,3.55514,0.670998,0.58446,0.82616,1281024,445500,0.347769,0.681102,519.38,2466.45,0.00081293,0.0
90,3.547457,0.673012,0.58432,0.82704,1281024,443816,0.346454,0.679787,512.545,2499.34,0.00080876,0.0
91,3.538941,0.675568,0.58956,0.82638,1281024,442353,0.345312,0.678645,510.765,2508.05,0.00080456,0.0
92,3.527862,0.676622,0.58638,0.8271,1281024,442127,0.345136,0.678469,512.457,2499.77,0.00080032,0.0
93,3.518128,0.678886,0.59078,0.82946,1281024,440856,0.344143,0.677477,522.403,2452.17,0.00079604,0.0
94,3.511478,0.680638,0.59036,0.83012,1281024,439745,0.343276,0.676609,484.923,2641.71,0.00079173,0.0
95,3.5035,0.683201,0.58846,0.82798,1281024,438305,0.342152,0.675485,499.413,2565.06,0.00078739,0.0
96,3.494739,0.685054,0.59228,0.83066,1281024,436787,0.340967,0.6743,502.278,2550.43,0.00078302,0.0
97,3.48798,0.686576,0.59102,0.83086,1281024,436355,0.34063,0.673963,500.703,2558.45,0.00077861,0.0
98,3.483265,0.688653,0.59658,0.83072,1281024,435019,0.339587,0.67292,499.212,2566.09,0.00077418,0.0
99,3.475279,0.689694,0.59298,0.83216,1281024,434549,0.33922,0.672553,505.358,2534.88,0.00076971,0.0
100,3.46902,0.691609,0.59638,0.83078,1281024,433485,0.338389,0.671723,502.368,2549.97,0.00076521,0.0
101,3.4626,0.69368,0.59352,0.832,1281024,431709,0.337003,0.670336,481.538,2660.28,0.00076068,0.0
102,3.449516,0.696043,0.59556,0.83292,1281024,430629,0.33616,0.669493,520.854,2459.47,0.00075612,0.0
103,3.440961,0.698092,0.6002,0.83496,1281024,429795,0.335509,0.668842,509.906,2512.28,0.00075154,0.0
104,3.431086,0.699782,0.5943,0.83166,1281024,428543,0.334532,0.667865,502.342,2550.1,0.00074692,0.0
105,3.428962,0.70145,0.60452,0.83914,1281024,427272,0.333539,0.666873,501.448,2554.65,0.00074228,0.0
106,3.415689,0.703774,0.6056,0.83666,1281024,425973,0.332525,0.665859,500.646,2558.74,0.0007376,0.0
107,3.410793,0.705067,0.60096,0.8358,1281024,425576,0.332215,0.665549,501.965,2552.02,0.00073291,0.0
108,3.4088,0.706029,0.5996,0.83316,1281024,424071,0.331041,0.664374,483.526,2649.34,0.00072818,0.0
109,3.395026,0.708882,0.59706,0.83286,1281024,423181,0.330346,0.663679,501.808,2552.82,0.00072343,0.0
110,3.390215,0.710525,0.60284,0.83462,1281024,422035,0.329451,0.662785,499.612,2564.04,0.00071865,0.0
111,3.380612,0.712412,0.60182,0.83624,1281024,420957,0.32861,0.661943,499.351,2565.38,0.00071385,0.0
112,3.378071,0.714022,0.60576,0.8361,1281024,419395,0.32739,0.660724,501.779,2552.96,0.00070903,0.0
113,3.373026,0.714465,0.60376,0.8362,1281024,418990,0.327074,0.660408,514.556,2489.57,0.00070418,0.0
114,3.366085,0.71655,0.61122,0.84102,1281024,417538,0.325941,0.659274,501.98,2551.94,0.00069931,0.0
115,3.356683,0.718728,0.60656,0.84084,1281024,416456,0.325096,0.65843,481.293,2661.63,0.00069441,0.0
116,3.35008,0.720239,0.60164,0.837,1281024,416016,0.324753,0.658086,500.282,2560.61,0.0006895,0.0
117,3.337234,0.722562,0.61248,0.8413,1281024,414638,0.323677,0.65701,495.871,2583.38,0.00068456,0.0
118,3.330501,0.724015,0.61228,0.84116,1281024,413636,0.322895,0.656228,496.027,2582.57,0.0006796,0.0
119,3.329405,0.725776,0.60962,0.84186,1281024,411972,0.321596,0.654929,497.445,2575.21,0.00067462,0.0
120,3.320762,0.72702,0.60494,0.83528,1281024,411665,0.321356,0.65469,498.617,2569.15,0.00066962,0.0
121,3.313188,0.728783,0.6038,0.83874,1281024,409860,0.319947,0.653281,497.273,2576.1,0.0006646,0.0
122,3.30686,0.730171,0.61124,0.84054,1281024,409449,0.319626,0.65296,516.455,2480.42,0.00065956,0.0
