epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
0,6.648984,0.028184,0.0552,0.17214,1281024,640512,0.5,0.833333,250.943,5104.85,1.6e-07,0.0
1,6.31619,0.071887,0.09046,0.24414,1281024,640512,0.5,0.833333,244.123,5247.45,0.00020016,0.0
2,6.238205,0.088606,0.09358,0.24784,1281024,640512,0.5,0.833333,242.613,5280.11,0.00040016,0.0
3,6.335551,0.076489,0.08162,0.21836,1281024,640512,0.5,0.833333,247.934,5166.8,0.00060016,0.0
4,6.446295,0.061911,0.06372,0.1812,1281024,640512,0.5,0.833333,238.371,5374.07,0.00080016,0.0
5,6.421794,0.066306,0.07526,0.20534,1281024,640512,0.5,0.833333,236.075,5426.35,0.001,0.0
6,6.372732,0.073921,0.08426,0.22322,1281024,640512,0.5,0.833333,239.099,5357.71,0.00099997,0.0
7,6.321215,0.082134,0.09484,0.24484,1281024,640512,0.5,0.833333,239.076,5358.24,0.00099989,0.0
8,6.259458,0.092121,0.10648,0.26972,1281024,640512,0.5,0.833333,241.763,5298.68,0.00099974,0.0
9,6.206306,0.100073,0.11232,0.27796,1281024,640512,0.5,0.833333,256.734,4989.69,0.00099955,0.0
10,6.16494,0.107815,0.1254,0.30282,1281024,640512,0.5,0.833333,235.916,5430.0,0.00099929,0.0
11,6.108993,0.117028,0.13384,0.32054,1281024,640512,0.5,0.833333,236.546,5415.54,0.00099898,0.0
12,6.032747,0.130365,0.1408,0.33538,1281024,640512,0.5,0.833333,245.834,5210.94,0.00099861,0.0
13,5.968939,0.14205,0.15568,0.3547,1281024,640512,0.5,0.833333,238.054,5381.23,0.00099819,0.0
14,5.905058,0.152654,0.17566,0.38624,1281024,640512,0.5,0.833333,236.806,5409.6,0.00099771,0.0
15,5.838723,0.165352,0.18666,0.40508,1281024,640512,0.5,0.833333,241.237,5310.23,0.00099717,0.0
16,5.771495,0.1781,0.19856,0.42626,1281024,640512,0.5,0.833333,240.913,5317.38,0.00099657,0.0
17,5.69948,0.191136,0.21836,0.45678,1281024,640512,0.5,0.833333,241.053,5314.27,0.00099592,0.0
18,5.621999,0.206301,0.2316,0.47198,1281024,640512,0.5,0.833333,241.289,5309.09,0.00099522,0.0
19,5.536482,0.223932,0.2539,0.50464,1281024,640512,0.5,0.833333,238.986,5360.25,0.00099445,0.0
20,5.432176,0.245932,0.27666,0.53318,1281024,640512,0.5,0.833333,239.056,5358.67,0.00099363,0.0
21,5.340398,0.265093,0.29772,0.55846,1281024,640512,0.5,0.833333,236.815,5409.38,0.00099276,0.0
22,5.254548,0.28207,0.31668,0.58174,1281024,640512,0.5,0.833333,236.791,5409.94,0.00099183,0.0
23,5.174523,0.297891,0.32862,0.59878,1281024,640512,0.5,0.833333,238.841,5363.5,0.00099084,0.0
24,5.099686,0.31298,0.33888,0.60708,1281024,640512,0.5,0.833333,264.713,4839.29,0.0009898,0.0
25,5.024835,0.327423,0.36032,0.6315,1281024,640512,0.5,0.833333,240.116,5335.03,0.0009887,0.0
26,4.949858,0.341923,0.36328,0.63988,1281024,640512,0.5,0.833333,241.13,5312.58,0.00098755,0.0
27,4.877369,0.356534,0.38466,0.65794,1281024,640512,0.5,0.833333,257.338,4977.98,0.00098634,0.0
28,4.80735,0.370027,0.38604,0.66152,1281024,640512,0.5,0.833333,240.279,5331.4,0.00098508,0.0
29,4.732761,0.382821,0.402,0.67676,1281024,640512,0.5,0.833333,235.465,5440.39,0.00098376,0.0
30,4.661753,0.397587,0.41964,0.69122,1281024,640512,0.5,0.833333,236.023,5427.53,0.00098238,0.0
31,4.587666,0.412098,0.4313,0.7036,1281024,640512,0.5,0.833333,235.329,5443.54,0.00098096,0.0
32,4.518328,0.425105,0.43972,0.7107,1281024,640512,0.5,0.833333,253.14,5060.54,0.00097947,0.0
33,4.449757,0.43864,0.44974,0.71806,1281024,640512,0.5,0.833333,240.362,5329.57,0.00097794,0.0
34,4.387048,0.450787,0.45748,0.72842,1281024,640512,0.5,0.833333,239.883,5340.21,0.00097634,0.0
35,4.323218,0.462273,0.46602,0.7382,1281024,640512,0.5,0.833333,239.084,5358.04,0.0009747,0.0
36,4.264061,0.474031,0.47578,0.744,1281024,640512,0.5,0.833333,237.231,5399.9,0.000973,0.0
